ID;kitapadi;yazaradi;yayinevi
2995;Cingoz Recai  Cingoz Kafeste         ;Peyami Safa;DAMLA YAYINEVI
2996;Cingoz Recai  Elmaslar Icinde      ;Peyami Safa;GENC DAMLA YAYINEVI
2997;Cingoz Recai  Arsen Lupen            ;Peyami Safa;GENC DAMLA YAYINEVI
2998;Cingoz Recai  Cingoz'un Esrari        ;Peyami Safa;GENC DAMLA YAYINEVI
2999;Cingoz Recai  Zeyrek Cinayeti          ;Peyami Safa;GENC DAMLA YAYINEVI
3000;Cingoz Recai  Tiyatro Baskini          ;Peyami Safa;GENC DAMLA YAYINEVI
3001;Gumus Patenler                         ;Mary Mapes Dodge;FARK COCUK YAYINLARI
3002;Gizli Bahce                               ;Frances Hodgson Burnett;FARK COCUK YAYINLARI
3003;Buyu Dukkani;Yesim Turkoz;EPSILON YAYINEVI
3004;Tatli Bir Ihtiyarin Karmakarisik Dosyalari          ;E. L. Konigsburg;EPSILON YAYINEVI
3005;Dedemin Bakkali                        ;Sermin Carkaci  ;TAZE KITAP
3006;Dedemin Bakkali   Cirak                    ;Sermin Carkaci  ;TAZE KITAP
3007;Elli Kurus;Orhan Kemal;BUYULU FENER
3008;Tilsimin Son Cocugu;Sevda Firat Ak;SIMSEK YAYINLARI
3009;Simdiki Cocuklar Harika;Aziz Nesin;NESIN YAYINEVI
3010;Piano Piano Bacaksiz;Kemal Demirel;PUPA YAYINLARI
3011;Kirmizi Egrelti Otunub Buyudugu Yer;Wilson Rawls;BULUT YAYINLARI
3012;Gezginin Ayak Izleri;Ulviye Alpay;DUNYA AGACI YAYINLARI
3013;Sofie’nin Dunyasi;Jostein Gaarder;PAN YAYINCILIK
3014;Portakal Kiz;Jostein Gaarder;PAN YAYINCILIK
3015;Iskambil Kâgitlarinin Esrari;Jostein Gaarder;PAN YAYINCILIK
3016;Sherlock Holmes-Mavi Yakut;Sir Arthur Conan Doyle;MARTI YAYINLARI
3017;Sherlock Holmes-Kizil Saclilar Kulubu;Sir Arthur Conan Doyle;MARTI YAYINLARI
3018;Sherlock Holmes-Sir Perdesi Aralaniyor Kizil Dosya;Sir Arthur Conan Doyle;MARTI YAYINLARI
3019;Vikinglerin Yuz Karasi;Margaret McAllister;MARTI COCUK YAYINLARI
3020;Futbol Sovlari;Rob Childs;MARTI COCUK YAYINLARI
3021;Ada;Theodore Taylor;BEYAZ BALINA
3022;Uysal Ben;Walt Morey;BEYAZ BALINA
3023;Sadako ve Kagittan Bin Turna Kusu ;Eleanor Coerr;BEYAZ BALINA
3024;Petey;Ben Mikaelsen;BEYAZ BALINA
3025;Kirik Comlek Parcasi;Linda Sue Park;BEYAZ BALINA
3026;Malikanenin Sirri;Harriet Goodwin;BEYAZ BALINA
3027;Yeraltina Dusen Cocuk;Harriet Goodwin;BEYAZ BALINA
3028;Satoda Macera;Enid Blyton;ARTEMIS YAYINALRI
3029;Denizde Macera;Enid Blyton;ARTEMIS YAYINALRI
3030;Adada Macera;Enid Blyton;ARTEMIS YAYINALRI
3031;Gemide Macera;Enid Blyton;ARTEMIS YAYINALRI
3032;Nehirde Macera;Enid Blyton;ARTEMIS YAYINALRI
3033;Dagda Macera;Enid Blyton;ARTEMIS YAYINALRI
3034;Vadide Macera;Enid Blyton;ARTEMIS YAYINALRI
3035;Gozu Cok Ama Cok Agriyan Adam;Fatih Erdogan;MAVI BULUT YAYINCILIK
3036;Sahin Bey;Ibrahim Unsal;GENC HAYAT
3037;Nene Hatun;Ibrahim Unsal;GENC HAYAT
3038;Seyit Onbasi;Ibrahim Unsal;GENC HAYAT
3039;Ulubatli Hasan;Ibrahim Unsal;GENC HAYAT
3040;Fatma Tegmen;Ibrahim Unsal;GENC HAYAT
